Origin TAZ,Destination TAZ,HBW Trips,Travel Cost (Min),total travel cost (Min)
263,263,723.71,6.0467,4376.05
263,264,97.27,9.857,958.83
263,269,53.58,10.748,575.92
263,271,26.38,13.311,351.08
263,272,137.39,14.343,1970.65
263,274,15.38,18.113,278.54
263,499,48.43,14.46,700.30
263,500,5.55,18.259,101.35
263,513,3.11,14.529,45.24
263,515,59.99,10.635,637.99
263,516,250.96,10.992,2758.57
263,517,47.61,14.718,700.71
263,518,46.44,13.525,628.04
263,519,17.52,15.547,272.46
264,263,75.59,9.841,743.92
264,264,695.21,5.1109,3553.14
264,269,128.00,6.64,849.92
264,271,56.08,9.203,516.11
264,272,296.62,10.169,3016.30
264,274,26.42,14.311,378.16
264,499,53.58,11.4,610.77
264,500,7.91,15.199,120.28
264,513,2.21,13.83,30.60
264,515,109.82,7.575,831.90
264,516,457.74,7.932,3630.79
264,517,63.94,12.005,767.66
264,518,74.34,10.465,777.98
264,519,26.46,12.487,330.41
269,263,40.86,10.563,431.56
269,264,126.77,6.64,841.78
269,269,364.94,4.972,1814.50
269,271,67.12,7.096,476.32
269,272,413.28,8.13,3359.95
269,274,29.05,12.204,354.59
269,499,55.64,10.035,558.34
269,500,7.82,13.834,108.12
269,513,1.85,13.543,25.04
269,515,104.21,6.21,647.15
269,516,445.12,6.567,2923.08
269,517,70.36,10.64,748.62
269,518,79.04,9.1,719.28
269,519,26.60,11.122,295.89
271,263,22.38,12.84,287.39
271,264,53.77,8.917,479.51
271,269,75.21,7.096,533.68
271,271,346.05,4.29,1484.55
271,272,521.27,5.739,2991.57
271,274,66.12,8.873,586.65
271,499,62.51,9.079,567.53
271,500,5.53,14.067,77.79
271,513,0.93,15.195,14.07
271,515,31.05,7.677,238.40
271,516,162.90,8.981,1462.98
271,517,36.38,12.238,445.24
271,518,38.01,10.698,406.64
271,519,17.29,11.355,196.35
272,263,58.85,12.963,762.82
272,264,109.31,9.04,988.16
272,269,150.81,7.705,1162.02
272,271,297.17,5.739,1705.47
272,272,2758.05,4.6751,12894.14
272,274,229.16,9.472,2170.59
272,499,129.83,9.629,1250.11
272,500,15.19,14.19,215.56
272,513,3.06,15.318,46.86
272,515,78.35,7.8,611.12
272,516,190.12,9.104,1730.84
272,517,39.31,12.361,485.93
272,518,51.26,10.821,554.72
272,519,45.43,11.478,521.49
274,263,16.33,17.275,282.09
274,264,32.85,13.696,449.93
274,269,39.44,12.206,481.40
274,271,70.11,8.875,622.20
274,272,411.35,9.475,3897.58
274,274,1083.99,5.504,5966.27
274,499,55.56,12.674,704.16
274,500,4.08,18.846,76.96
274,513,0.83,19.22,16.00
274,515,33.84,11.576,391.79
274,516,135.54,12.88,1745.70
274,517,32.24,16.137,520.33
274,518,33.54,14.597,489.57
274,519,12.24,16.134,197.50
499,263,36.53,14.342,523.89
499,264,49.86,11.344,565.58
499,269,48.91,9.971,487.70
499,271,56.22,9.079,510.42
499,272,184.53,10.446,1927.65
499,274,51.45,12.672,651.98
499,499,667.18,6.8206,4550.54
499,500,26.40,11.927,314.86
499,513,4.91,13.46,66.07
499,515,114.04,7.112,811.05
499,516,331.94,8.356,2773.70
499,517,85.75,11.172,958.00
499,518,103.37,9.632,995.71
499,519,95.92,9.62,922.72
500,263,5.51,18.906,104.23
500,264,8.44,15.908,134.34
500,269,8.38,14.535,121.82
500,271,5.34,16.206,86.59
500,272,27.67,17.238,477.03
500,274,4.21,21.111,88.84
500,499,30.58,12.799,391.41
500,500,153.80,6.7594,1039.57
500,513,1.65,14.072,23.28
500,515,24.34,11.688,284.48
500,516,52.76,12.92,681.68
500,517,20.68,13.601,281.29
500,518,15.08,14.196,214.10
500,519,32.66,10.232,334.17
513,263,3.78,14.975,56.61
513,264,3.54,15.113,53.56
513,269,2.90,14.412,41.77
513,271,1.57,17.68,27.73
513,272,8.06,18.712,150.77
513,274,1.11,21.472,23.93
513,499,7.92,14.475,114.63
513,500,2.22,14.146,31.34
513,513,11.48,5.3081,60.93
513,515,7.66,12.063,92.37
513,516,31.97,11.757,375.85
513,517,35.12,9.873,346.77
513,518,12.69,11.466,145.50
513,519,7.36,11.434,84.17
515,263,47.05,10.728,504.74
515,264,75.53,7.73,583.87
515,269,85.81,6.357,545.50
515,271,28.70,9.229,264.91
515,272,83.53,10.261,857.11
515,274,26.79,13.021,348.79
515,499,105.01,7.182,754.15
515,500,19.29,10.981,211.86
515,513,5.10,11.082,56.53
515,515,386.46,3.8035,1469.89
515,516,352.64,4.742,1672.24
515,517,96.86,7.999,774.80
515,518,144.08,6.459,930.61
515,519,85.41,8.269,706.25
516,263,120.65,10.947,1320.71
516,264,177.99,7.949,1414.88
516,269,197.39,6.576,1298.03
516,271,72.02,9.912,713.82
516,272,288.04,10.944,3152.30
516,274,54.23,13.704,743.17
516,499,248.33,8.582,2131.20
516,500,31.84,12.381,394.27
516,513,12.65,10.823,136.90
516,515,386.01,4.841,1868.70
516,516,1546.63,6.206,9598.36
516,517,286.78,7.92,2271.34
516,518,399.81,6.38,2550.78
516,519,171.30,9.08,1555.38
517,263,21.93,14.709,322.57
517,264,29.51,12.019,354.66
517,269,28.77,10.646,306.25
517,271,16.89,13.729,231.82
517,272,83.79,14.761,1236.88
517,274,11.74,17.521,205.62
517,499,72.91,11.366,828.74
517,500,10.49,13.661,143.27
